Title,Credit Hour,level,Equivalent Courses,outlines
Prerequisites: Structural Analysis-I (CV212),Credit Hours: 3+1,Course Level: Senior,,"Introduction to Environmental Legislation and Regulations. Basic definitions and differences in terms, International Acts, Treaties, Agendas and Accords, Environmental Protection Agency, Pakistan Environmental Protection Act 1997, National Environmental Quality Standards (NEQS). Introduction to Environmental Impact Assessment.Definitions, activity, consequence, effect-impact; relationship, magnitude, duration and significance.Assessment types; IEE & EIA in context to PEPA applicable to development projects. EIA process; Scoping, Screening, EIA Study, EIA Analysis, Documentation and Presentation, Decision making. EIA Techniques, Environmental & Monitoring Plan. Estimation of Sewage Quantities: Population characteristics, population forecasting, waste water generation, Rainfall intensity formulas, hydrograph & weather flow, sewage quantities; Variations and rates of flows; Velocity gradient & limiting velocities. Characteristics of Sewage: Sampling techniques and examination of wastewater (Physical, chemical and microbiological parameters), Biochemical Oxygen demand (BOD), Chemical Oxygen Demand (COD), Microbiology of sewage. Effluent disposal guideline and standards, Pakistan National Environmental Quality.Standards (NEQS) and International Standards. Sewer system: Types, shapes, size and materials of sewers, pipe strengths and tests; Design, construction, laying and maintenance of sewage system; Separate & Combined systems; Sewer appurtenances. Sewage Treatment and Disposal: Primary, secondary & tertiary treatment. Screening grit chamber, skimming tanks & sedimentation tanks; Activated sludge treatment, tricking filters, rotating biological contactors. Aerobic systems; lagoons and oxidation ponds, etc. Sewage Disposal: Receiving body assimilation capacity; Stream pollution and self-recovery, sludge handling, treatment & disposal; Effluent re-use. Building drainage: Soil pipes, anti-syphon pipes and waste water pipes; sanitary fixtures and traps; House connection and testing of house drainage; Cross connection and back syphonage control. Solid waste management: Types, characteristics, sources and quantities of solid waste; Collection, disposal (Landfill, incineration, RDF, waste to energy) and recycling."
Plain and Reinforced Concrete II (CV354),Credit Hours: 3+1,Course Level: Senior,,"Steady Flow in Open Channel: Specific energy and critical depth, Dynamic equation of gradually varied flow, surface profiles and back water curves, Humps and constrictions, Hydraulic jump, Broad crested weirs, venturi flume and critical depth meters. Unsteady Flow: Flow through pipes, orifices and over weirs under varying heads, unsteady flow through pipe lines, water hammer, instantaneous and slow closure of valves, Surges in open channel. Dimensional Analysis and Similitude: Similitude in hydraulic models, similitude requirements, geometric, kinematics and dynamics similarities, dimensionless numbers and their significance, Releigh’s method, Buckingham’s PI-theorem and its application, physical models, techniques and analysis, introduction to numerical models. Dams and Hydro Power Engineering: Selection of hydropower sites. Components and layout of hydropower schemes. Types of storage dams, forces on dams, design of gravity dams, Reservoir engineering, operation and regulation of storage reservoirs. Sediment Transport in Channels, Sedimentation Problems in Reservoirs. Canal Irrigation: Elementary concept about canal head works, selection of their site and layout, weirs and barrages, various components and functions. Measures adopted to control silt entry into canals, silt ejectors and excluders. Design of weirs on permeable foundations, sheet piles and cut off walls. Design of irrigation channels, Kennedy’s and Lacey’s Theories.Rational methods for design of irrigation channels.Comparison of various methods. Computer Aided design of irrigation channels. Barrages and Head works: Canal head regulators, falls, flumes, canal outlets. Cross drainage works: types and functions. Canal lining: advantages and types. Maintenance of irrigation canals.Monitoring of flows-telemetry system. Water logging and salinity: Causes and effects of water logging, reclamation of water logged soils. Drains and tube wells.Causes and effects of salinity and alkalinity of lands in Pakistan.Reclamation methods.Drainage network in irrigated areas. Drainage: Definition, Land reclamation, Surface Drainage, Subsurface Drainage, Estimation of discharge capacity of Cross-drainage structures, Disposal of drainage effluents."
Prerequisites: Plain and Reinforced Concrete-I(CV311),Credit Hours: 2+0,Course Level: Senior,,"Introduction: Use of steel as a structural material, hot rolled, cold formed and built up sections. Fundamentals of Working Stress Method: Strength analysis and design of simple tension, compression and flexural members. LRFD Method of Design: Factor of safety, loads and load combination. Concept of load and resistance factors, plastic design and limits on design. Analysis and design of tension members, calculation of net area, Analysis and design of columns, lacing and slay plates. Residual stresses, local and overall stability, Euler's buckling load in columns. Analysis and design of beams. Compact, non-compact and slender sections, lateral torsional buckling. Beam-column and axial-flexure interaction, second order effects, moment magnification. Plate girder proportioning and stiffener design including drawings. Welded, bolted and riveted truss connections, brackets, and moment and shear connections. Design and drawing of a truss, purlin, roof sheet, cud bearing plate. Uplift of truss due to wind."
Construction Management (CV401),Credit Hours: 3+1,Course Level: Senior,,.
Architecture & Town Planning (CV402),Credit Hours: 3+0,Course Level: Senior,,.
Highway & Traffic Engineering (CV404),Credit Hours: 3,Course Level: Masters,,"Part-I–Linear Structural Analysis: Theoretical development and computer implementation of flexibility and stiffness methods of structural analysis; virtual work principles; computation of element stiffness matrices and load vectors; direct assembly procedures; equation solution techniques. Analysis of 2 and 3 dimensional truss and frame structures, thermal loads, non- uniform torsion, sub-structuring/static condensation, kinematic condensation, and practical modeling techniques. Part-II–Nonlinear Structural Analysis: This part deals with the theory, computer implementation, and application of methods of geometric and material nonlinear analysis. Geometric nonlinear (or 2nd-order) analysis entails solving for equilibrium on the deformed configuration of the structure. Areas where geometric nonlinear analysis has practical design implications include problems of structural stability (e.g. P-Δ effects, frame buckling) and the design/behavior of materials – a condition commonly encountered for all structures prior toreaching their strength limit state of structures. Types of inelastic analysis that will be discussed include concentrated plasticity (or plastic hinge) methods and spread of plasticity methods (fiber analysis, quasi hinge methods, etc.). Practical design applications of inelastic analysis include static pushover and inelastic time-history analysis in earthquake engineering and plastic mechanism analysis. Emphasis will be on techniques applied to frame structures comprised of line  type  elements,  however,  the  basic  concepts  equally  pertain  to  general  finite  element methods."
Geotechnical & Foundation Engineering (CV405),Credit Hours: 3,Course Level: Masters,,"Part-2: Introduction to probability and statistics Basic definitions, Observations and variables, Collection of data, Presentation of data, measures of central tendency or averages, Measures of Dispersions, Moments and Skewness, Index Numbers"
Environmental Engineering-II (CV407),Credit Hours: 3+0,Course Level: Masters,,"History and Importance of Concrete: Early Cementitious Materials, History of Concrete, Modern History of Concrete Structures, Importance of Concrete as Material, Why Durability and important and how it is been effected. Hydration of Cement: Raw material for cement, manufacturing process of cement, Different ingredients of cement clinkers, hydrated products of cement, Final composition of cement that effect durability of concrete, Cement matrix and pore structure effects on Durability of Reinforced concrete. Corrosion of Steel in Concrete: Introduction to corrosion of metal, Electrochemistry involve in corrosion process, Thermodynamics of corrosion, Kinetics of corrosion process, Carbonation of concrete, Chloride contamination of concrete, Corrosion measuring techniques, Half-cell potential Measurements, Linear Polarization Resistance Technique, Tafel Interpolation Technique.Alkali-Aggregate Reaction (AAR): Alkali-Silica Reaction (ASR), Sources of Akalis in Concrete, Source of Reactive Silica, Damage cause by ASR, Alkali-Carbonate Reaction. Sulphate Attack, Freezing and Thawing process in Concrete, Creep & Shrinkage of Concrete."
Prerequisites: Environmental Engineering-I(CV341),Credit Hours: 3+0,Course Level: Masters,,"Introduction. Geotechnical investigations required for geotechnical design of foundations. Soil & rock parameters for foundation design. Bearing capacity of various shallow foundations on soils.Settlement of shallow foundations.Bearing capacity of shallow foundations on rocks. Geotechnical design calculations of various types of shallow foundations including rafts. Foundations on problematic grounds.Ground improvement materials & techniques.Geophysical methods in foundation engineering, remote-sensing.Monitoring & performance. Construction issues, defects in foundations, underpinning etc."
Hydraulics & Irrigation Engineering (CV408),Credit Hours: 3+0,Course Level: Freshman,,"Fundamental data types, abstract data types, arrays and matrices, records and pointers, linked lists, Introduction to Object oriented programming and software development, defining classes, selection statements, repetition statements, exceptions and assertions, arrays and collections, file I/O, inheritance and polymorphism, GUI and Event‑driven programming."
Steel Structures (CV410),Credit Hours: 3+0,Course Level: Freshman,,"The objective of the course is to train 'engineering' students, who have already studied C -Language, to understand the fundamental concepts of Object Oriented Programming (OOP) and to be able to write medium complexity programs in C++ using OOP concepts. The course will cover the concepts of Encapsulation, Inheritance, Polymorphism, Template Classes, Standard Template Library, Operator Overloading and basic data structures like Linked List etc."
Project ‑ I (CV482),Credit Hours: 3 + 1,Course Level: Freshman,," This course comprises of the concept related with basic electronics covering the concepts from physical electronics, power electronics, and circuit electronics. It includes the basic concept of electronic components, AC and DC circuits, concept of resonance, band width, filters and their applications in computer sciences. The course also covers the basics of semiconductors devices including diodes, transistor, amplifier, Op-amps and their application in computer sciences. Also it include the concept of computer interfacing, analogue to digital conversions, sensors, serial ports, parallel ports and motors."
Project ‑ II (CV483),Credit Hours: 3 + 1,Course Level: Sophomore,,"Semiconductor diode: theory and circuits. Rectifier circuits.Special purpose diodes.Transistor action.Transistor as an amplifier. Biasing and Load line analysis. Transistor configurations.AC models. Electronic circuits: Clipping and clamping circuits, multivibrators, filters and amplifiers. Field effect transistors and circuits.Integrated circuits."
Advanced Structural Analysis (CV500),Credit Hours: 3 ,Course Level: Sophomore,,"Common‑source and common‑gate amplifiers, Multistage amplifier, current mirrors, current sources, active loads. High‑frequency models of FETs and BJTs. Feedback amplifiers, effect of feedback on frequency response. Class A, B, and C amplifiers. Oscillators, pulse and switching circuits: noise margin, fan‑out, propagation delay; CMOS, TTL, ECL."
Probability & Statistical Method (CV501),Credit Hours: 4,Course Level: Sophomore,," CInstruction Set Architecture/Design, Processor Implementation Techniques, Memory Hierarchy Design, Input-Output. Design and implementation of a single cycle, multi cycle, and pipelined processor with emphasis on the implementation of control unit and performance of the main functional units, i.e. ALU, Memory and registers."
"Part-2: Probability, An Aside Sets, Random Experiment, Laws of probability, Conditional probability, Random Variables; Discrete and Continuous random variable, Mathematical expectation of a random variable, Medians and modes of continuous random variables, Discrete probability distributions; Binomial probability distributions, Poisson distribution, Geometric Distribution, Multinomial distribution, Continuous Probability Distributions; Uniform distribution, Exponential distribution, Normal distribution, Gamma and Beta distribution.",Credit Hours: 3 + 1,Course Level: Sophomore,,"Introduction to various technical facilities in the workshop including mechanical and electrical equipment. Concepts in electrical safety, safety regulations, earthing concepts, electric shocks and treatment. Use of tools used by electricians, wiring regulations, types of cables and electric accessories including switches, plugs, circuit breakers, fuses etc., symbols for electrical wiring schematics e.g. switches, lamps, sockets etc., drawing and practice in simple house wring and testing methods, wiring schemes of two‑way and three‑way circuits and ringing circuits, voltage and current measurements. Electric soldering and soldering tools; soldering methods and skills, PCB designing, transferring a circuit to PCB, etching, drilling and soldering component on PCB testing."
Durability of Concrete Structure (CV502),Credit Hours: 3,Course Level: Sophomore,," Basic concepts of computer organization: Computer Evolution and Performance, Von Neumann architecture, Computer components, Interconnection structure, Bus Interconnection, Computer Memory System. Intel x86 Assembly language: memory access and storage, data representation and transfer, digital arithmetic, memory storage and addressing methods, procedures and interrupts, conditional processing, and so on."
Foundation Engineering (CV503),Credit Hours:1,Course Level: Sophomore,,"Ideal Diode, characteristics and physical operation of diode, Analysis of diodes, Small-signal model & its applications, operation in reverse breakdown regions, Zenerdiodes, Rectifier circuits, Limiting and Clamping diodes, Introduction to BJT, physical structure and operation, Operation of the npn transistor in the active mode, pnp transistor, Analysis of transistor circuits at DC, Transistor as an amplifier, small-signal equivalent circuit models, Transistor as a switch, large-signal model for BJT, Introduction to FET, structure and operation, Characteristics of MOSFET, MOSFET circuits at DC, MOSFET amplifiers, biasing MOS amplifier circuits, Basic configurations of single-stage IC MOS amplifiers, Single-stage IC MOS amplifier comparisons, MOSFET as an analogue switch, MOSFET internal capacitance and high frequency model."
Electrical Engineering,Credit Hours: 3 + 1,Course Level: Freshman,,"Charge, Current, Energy, Power, Voltage; Ideal Basic Circuit Element; Independent and dependent sources; Electrical Resistance; Ohm’s Law; Circuit Model, Kirchhoff’s Laws, Analysis of resistive (DC) circuits; Simplifying Resistive Networks (series/parallel/delta-wye conversion); Voltage and  Current Divider Circuits; Node-Voltage & Mesh-Current Methods; Source Transformation, Thevenin/Norton Equivalents; Maximum Power Transfer Theorem, Superposition Theorem; Basic Operational Amplifier (Inverting, Non-Inverting, Summing, Difference Amplifier) circuits; 1st and 2nd order (Inductive and/or Capacitive) circuits; Mutual Inductance."
Programming for Engineers ‑ I (EE110),Credit Hours: 3 + 1,Course Level: Freshman,," Phasor; Phasor based Sinusoidal Steady-State Circuit Analysis; Transformer; Power: Instantaneous, Average, Reactive, Complex; Maximum Power Transfer; Balanced 3Φ Circuits (Y-Y, Y-∆); Power Measurement, 2-Wattmeter Method; Step & Impulse Functions; Laplace Transform: Functional & Operational Transforms, Inverse Transform, Partial Fraction Expansion, Pole-Zero Diagram, Initial- & Final-Value Theorem; Circuit Analysis using Laplace Transform; Transfer Function, Convolution Integral, Impulse Response; Filters (LP, HP, BP, BR): Passive & Active, Scaling, Higher Order Filters, Cascading, Butterworth Filters; Bode Diagrams for real poles/zeros."
Programming for Engineers ‑ II (EE112),Credit Hours: 3 + 1,Course Level: Sophomore,,"Precision measurements terminologies principles of different measurement techniques; instruments for measurement of electrical and non‑electrical quantities; systems for signal processing and signal transmission; modern instrumentation techniques; static and dynamic responses of instrumentation and signal conditioning; data acquisition systems; principles of operation, construction and working of different analog and digital meters, Advanced Testing & Measuring instruments recording instruments, signal generators, Input and output transducers; types of bridges for measurement of resistance, inductance, and capacitance; power and energy meters; high‑voltage measurements."
Basic Electronics (EE182),Credit Hours:03,Course Level: Sophomore,,"Faraday’s law of Electromagnetic induction, Lorentz force on a conductor, Residual flux, Hysteresis loop and hysteresis losses, Eddy current and eddy current losses,  Transformers, Impedance ratio, Shifting impedances, Primary and secondary leakage reactance, Equivalent circuit, Standard terminal marking, Polarity test, Transformer Taps, Losses and transformer ratings,  Measuring transformer impedances, Special Transformers, Direct Current Generators, Neutral zones, Generator under load, Commutation, Commutating poles, Separately excited generator, No-load operation and saturation curve, Shunt generator, Controlling the voltage of a shunt generator, , Separately excited and Shunt generator under load, Compound generator, Load characteristics, Direct Current Motors,  Acceleration of the motor, Mechanical power and torque, Speed of rotation, Armature and Field speed control, Shunt motor under load, Series motor, Series motor speed control, Compound motor, Reversing the direction of rotation, Face-plate starter, Dynamic braking, Plugging, Dynamic braking and mechanical time constant, Armature reaction, Flux distortion due to armature reaction, Commutating poles, Compensating winding, Permanent magnet motors, Three-phase Induction Motors, The rotating field, Direction of rotation, Number of poles–synchronous speed, Starting characteristics of a squirrel-cage motor, Acceleration of the rotor–slip, Motor under load, Voltage and frequency induced in the rotor, Characteristics of squirrel-cage induction motors, Torque versus speed curve, Effect of rotor resistance, Wound-rotor motor, Three-phase windings, Sector motor, Linear induction motor, Magnetic levitation, Single-phase Induction Motors, Synchronous speed, Torque-speed characteristic, Locked-rotor torque, Resistance split-phase motor, Capacitor-start motor, Efficiency and power factor, Vibration of single-phase motors, Capacitor-run motor, Reversing the direction of rotation, Shaded-pole motor, Universal motor, Hysteresis motor, Synchronous Motors, Pull-in torque, Motor under load, Power and torque, Mechanical and electrical angles, Reluctance torque , Losses and efficiency of a synchronous motor, Excitation and reactive power, Power factor rating, V-curves, Stopping synchronous motors, Synchronous Generators, Field excitation and exciters, Brushless excitation, No-load saturation curve, equivalent circuit, Short-circuit ratio, Synchronous generator under load, Regulation curves, Synchronization of a generator, Synchronous generator on an infinite bus, Infinite bus–effect of varying the exciting current, Infinite bus–effect of varying the mechanical torque, Physical interpretation of alternator behavior, Active power delivered by the generator, Control of active power, Transient reactance, Power transfer between two sources, Stepper Motors, Introduction, Effect of inertia and mechanical load, Torque versus current, Start-stop stepping rate, Slew speed, Ramping, Motor windings and associated drives, High-speed operation, Modifying the time constant, Bilevel drive, Instability and resonance, Stepper motors and linear drives"
Electronics ‑ I (EE201),Credit Hours: 3 + 1,Course Level: Sophomore,,"Linear system theory for analog and digital systems. Representation of signals and systems; system properties; Linearity, causality, time invariance.Impulse response, convolution, stability. Review of the Laplace transform and Fourier series, and applications to Linear Time Invariant (LTI) systems, Fourier Transforms, Sampling theorem, z‑ transforms, and applications."
Electronics ‑ II (EE203),Credit Hours: 3 + 1,Course Level: Sophomore,,"Introduce DC and AC analysis and design of single stage, capacitor coupled and direct coupled amplifiers, classification and types of amplifiers, feedback and oscillators. BJT and FETs (MOSFETSs) are covered."
Computer Architecture (EE204),Credit Hours: 3 + ½,Course Level: Sophomore,,"Semiconductor diode: theory and circuits. Rectifier circuits.Special purpose diodes.Transistor action.Transistor as an amplifier. Biasing and Load line analysis. Transistor configurations.AC models. Electronic circuits: Clipping and clamping circuits, multivibrators, filters and amplifiers. Field effect transistors and circuits.Integrated circuits."
Engineering Workshop (EE211),Credit Hours: 3,Course Level: Freshman,,"Combinational and sequential digital circuits. An introduction to digital systems.Number systems and binary arithmetic. Switching algebra and logic design. Combinational integrated circuits, including adders. Timing hazards. Sequential circuits, flip‑flops, state diagrams and synchronous machine synthesis. Programmable Logic Devices, PLA, PAL and FPGA.Finite‑state machine design.Memory elements."
Comp. Organization & Assembly Lang. (EE213),Credit Hours: 3 + 1,Course Level: Junior,,"Sampling, aliasing, truncation effects; discrete and fast Fourier transform methods.; convolution and deconvolution; finite and infinite impulse response filter design methods; Wiener, Kalman,  linear phase, median, and prediction filters; spectral estimation."
Electronics ‑ I (EE214),Credit Hours: 3 + 1,Course Level: Junior,,"Inside the computer, CPU and its relation to RAM and ROM Inside CPUs, 8051 Microcontroller, Structure of Assembly Language, 8051 Data Types and Directives, 8051 Flag Bits and the PSW Register,8051 Register Banks and Stack, 8051 Hardware, Pin description, Machine cycle and crystal frequency, Loop and Jump Instructions, Looping, Conditional Jumps, Unconditional jumps, Call instructions, Calling subroutines, Delay subroutine, I/O Port Programming, I/O Ports and their functions, I/O Ports and bit-addressability, Reading input pins versus port latches, Instructions for reading input ports, Addressing Modes, Immediate Addressing modes, Register Addressing Modes, Direct Addressing Mode, Register Indirect Addressing Mode, Indexed Addressing Mode 8051 Timer Programming, Timer Registers ,Programming Mode, Counter Programming, 8051 Serial Port Programming, Basics of Serial Communication, Asynchronous Serial communication,RS232,Connecting 8051 to RS232,Serial Port Programming, Interrupts in Programming, ISR, Interrupts in 8051, Programming Timer interrupts, External hardware interrupts, Programming serial communication interrupt, Interrupt priority, Software interrupts, LCD and Keyboard Interfacing, ADC, DAC and sensor Interfacing, 8051 Interfacing to external memory, Memory Types, Address Decoding, 8051 Interfacing with 8255, , RTC interfacing, RTC setting, reading, displaying time and date, Motor Control and Relays, Relays and optoisolators, Stepper Motor Interfacing, DC Motor Interfacing, Inter IC  (I2C)"
Circuit Analysis ‑ I (EE216),Credit Hours: 3 + 1,Course Level: Junior,,"Overview and motivation, Aims, objectives, and stages of control system design cycle, Importance of models, Control schemes, Examples, Feedback System Fundamentals, Dynamic Models of Mechanical, Electrical, Electromechanical, Thermal and Fluid systems, Dynamic response, System Modeling Diagrams, Stability (Routh's Criterion), Tracking, Regulation, Sensitivity, System Type, PID Control, Root-locus Design, Design Using Dynamic Compensation, Frequency-Response Design Method, Bode Plot, Nyquist Stability, Compensation and State-Space Design. Canonical Forms, Dynamic Response , Control-Law Design for Full-State Feedback"
Circuit Analysis ‑ II (EE217),Credit Hours: 4,Course Level: Junior,,"Vector algebra, coordinate systems and transformations, Vector calculus, electrostatic fields in materials, electrostatic boundary value problems, resistance and capacitance calculation, Magneto‑static fields, magneto‑static fields and materials, inductance calculation. Faraday's Law, displacement current and Maxwell's equation."
Instrumentation and Measurements (EE220),Credit Hours: 3 + 1,Course Level: Junior,,"RF behavior of Passive Components and RF models, Chip components, Distributed Circuit elements, Strip Lines, Microstrip Lines, Coupled Striplines/Coupled microstriplines, Smith Chart, Impedance and Admittance Transformation, Parallel and series Connection, Impedance Matching Networks, Analysis of Single and Multiport Networks using Network Parameters, Microwave Filter Design, Microwave Amplifier design, Mixers and Detectors, Oscillators, Power dividers, Directional Couplers, Circulators, Microwave Systems."
Electro Mechanical Systems (EE221),Credit Hours: 3 + ½,Course Level: Junior,,"Introduction to integrated circuits, IC fabrication, monolithic integrated circuits, introduction to MOS technology, basic electrical properties of MOS and BiCMOS circuits, basic digital building blocks using MOS transistor basic circuit concepts, ultra‑fast VLSI circuits and systems and their design."
Signals & Systems (EE223),Credit Hours: 3 + 1,Course Level: Junior,,"Filter fundamentals, types and approximations, standard filter characteristics, Butterworth, chebyshev filters, comparison of standard filter characteristics, low pass, high pass, band pass, band eliminate filers, biquad circuits, High order filters, switched capacitor filters"
Electronic Circuit Design (EE224),Credit Hours: 3,Course Level: Junior,,"Signal and Spectra, Source Coding and Base band Modulation, Base band Demodulation, Bandpass Modulation and Demodulation, Channel Coding, Synchronization, Multiplexing and Multiple Access, Fading Channels, Miscellaneous Topics."
Electronic Devices & Circuits (EE225),Credit Hours: 3,Course Level: Junior,,"Amplitude Modulation: Baseband and carrier communications, Double Sideband (DSB), Single Sideband (SSB), Vestigial Sideband (VSB), Superhetrodyne AM Receiver, Carrier Acquisition, Television Angle Modulation: Instantaneous frequency, Bandwidth of FM/PM, Generation of FM/PM, Demodulation of FM/PM. Noise: Mathematical representation, Signal to Noise Ratio, Noise in AM, FM, and PM systems Pulse Modulation: Sampling and Quantization, Pulse Amplitude Modulation, Pulse Position and Pulse width Modulation, Quantization Noise, Signal to Quantization Noise Ratio, Pulse code Modulation, Delta Modulation, Frequency Shift Keying, Phase Shift Keying."
Digital Logic Design (EE227),Credit Hours: 3 + 1,Course Level: Junior,,"Network architectures and switching techniques, characteristics of transmission media. Channel access protocols and their efficiency. Link control protocols, and their efficiency. Routing algorithms and protocols. Interconnection of network at the link level and at the network level, the Internet Protocol (IP) and associated control protocols. End‑to‑end protocols, with TCP and UDP as examples; congestion control and flow control. Cursory view of application‑level protocols, including electronic mail, HTTP and DNS. Introduction to network calculus (Optional)."
Digital Signal Processing (EE302),Credit Hours: 3,Course Level: Junior,,"Set theory, basic concepts of probability, conditional probability, independent events, Baye's Theorem, discrete and continuous random variables, distributions and density functions, probability distributions (binomial, Poisson, hyper geometric, normal, uniform and exponential), mean, variance, standard deviations, moments and moment generating functions, linear regression and curve fitting, limits theorems and applications."
µP Interfacing & Programming (EE303),Credit Hours: 3 + 1,Course Level: Junior,,"Introduction of CAD tools used for simulations of electronics systems and circuits, Review of Analog circuit design , Analog simulation CAD tools introduction, Transient and AC analysis for linear and  nonlinear systems, Design Assignment No.1 based on Analysis of Analog integrated circuit using CAD tool, Theory of complete Digital IC Design flow & CAD tools, Introduction of Digital integrated circuit design, Basics of Digital integrated circuit design using CAD tools, Hands on lab sessions on basic Digital CMOS gate design using CAD tools, Design Assignment No.2 based on digital integrated circuit design using CAD tool, Introduction of Digital System Design with SystemVerilog HDL, Digital System Design with SystemVerilog HDL- simulation using CAD tool, Digital System Design with SystemVerilog HDL- synthesis using CAD tool, Design Assignment No.3 based on digital integrated circuit design using System Verilog, HDL, Introduction of Radio-Frequency circuit analysis & CAD tools, Project"
Feedback Control Systems (EE304),Credit Hours: 3,Course Level: Junior,,"The Fourier Transform, Correlation and spectral density, detailed analysis of analog (linear and angle) Modulation/demodulation Techniques in Time and Frequency Domains, SNR and binary signal detection in Gaussian noise, Matched filter with detailed analysis, Maximum likelihood RX structure, Channel characterization and equalizer, Digital baseband modulation Techniques(Amplitude Shift Keying ,Frequency Shift Keying, Amplitude Phase Keying), Coherent and non coherent Detection of digital baseband modulated signals,"
Electromagnetic Theory (EE305),Credit Hours:2,Course Level: Junior,,"Principles of power electronics, converters and applications, circuit components and their effects, control aspects. Power Electronic Devices: Power diode, power BJT, power MOSFET, IGBT and SCR, GTO and TRIAC and DIAC. Construction, characteristics, operations, losses, ratings, control and protection of thyristors.Halfwave and full‑wave rectifiers with resistive and inductive loads, un‑controlled, semi controlled and "
Microwave Engg. (EE308),Credit Hours: 3 + 1,Course Level: Senior,,Classifications of robots; Robot sensing; Robots and task planning; Vision systems for robots; Justification for use of robots; Robots for programming.
VLSI (EE309),Credit Hours: 3 + 1,Course Level: Senior,," Introduction to basic concepts, image formation, point processing, spatial and frequency domain filtering, edge/corner detection and Hough transforms, color image processing, template matching, scale-space image representations, image transformations and camera models, supervised and unsupervised classification methods, visual descriptors for object detection, recognition and segmentation."
Analog Filter Design (EE310),Credit Hours: 3,Course Level: Senior,,"Wireless channel models: path loss, shadowing, multipath fading, wideband channel models. Capacity of wireless channels, digital modulation, performance in wireless fading channels.Diversity (time, frequency, space), equalization.Multicarrier modulation (OFDM), spread spectrum (CDMA), cellular concept, frequency reuse. Multiuser systems, wireless networks."
Digital Communications (EE313),Credit Hours: 3,Course Level: Senior,,"High‑level digital design methodology using VHDL/Verilog, Design, Implementation, and Verification, Application requiring HW implementation, Floating‑Point to Fixed‑Point Conversion, Architectures for Basic Building Blocks, Adder, Compression Trees, and Multipliers, Transformation for high speed using pipelining, retiming, and parallel processing, Dedicated Fully Parallel Architecture, Time shared Architecture, Hardwired State Machine based Design, Micro Program State Machine based Design, FPGA‑based design and logic synthesis,"
Communication Systems (EE316),Credit Hours: 3 + 1,Course Level: Senior,,"Analog modulation schemes: AM, DSBSC, SSB, FM and PM; FDM and FDMA concepts; Carrier frequency recovery and phase locked loop. AM & FM broadcasting systems; TV systems; Analog cable systems; Analog Mobile System (AMPS). Partial digital systems: PAM, PCM, DPCM, Delta Modulation; TDM and TDMA; Frame synchronization. Telephone systems (TDM); Digital Satellite systems (TDMA). Simple Digital Systems: Binary Modulation, QPSK, Binary FSK. TDMA/FDMA, phase recovery and timing recovery; Digital Mobile Systems (IS54, GSM and Japanese system).Satellite Mobile Systems. Simple network concepts: Telephone network, packet switched and circuit switched, simple concept of ISDN, ATM for optical fiber network. How does your telephone work? How does the mobile base‑station find a moving mobile phone user? (Visit Telstra Tower (Mechanical switch)). Key problems of all these systems: bandwidth, noise performance, delay, cost, and environment. The key information theoretic limitations."
Data Communication & Networks (EE317),Credit Hours: 4,Course Level: Senior,,"This course will provide a fundamental understanding of light wave communication systems. It will provide a practical introduction to the basic principles of optical fiber systems and optical networks (SDH, DWDM, FTTH and GPON). FOC course will emphasize the physical properties and operation of components (step and graded index optical fibers that support single and multimode transmission, various dispersion mechanisms, coherent (LASER) and incoherent (LED) optical sources and PIN and APD optical receivers etc.) that comprise optical systems. Further topics covered are Signal degradation in Optical Fibers (attenuation and dispersion Issues) & its remedial measures and Orientation of optical Devices (Splicer, Couplers and Connectors, Beam Splitters, directional couplers, switches, modulators, filters), their construction, usage etc"
Probability & Random Processes (EE319),Credit Hours:,Course Level: Senior,,"Maxwell equations, Waves in general, TEM waves, Time harmonic fields, Plane waves propagation in losses, dielectric and conductive media, Poynting theorem, Polarization, Reflection and transmission at normal incidence/oblique incidence, Transmission lines, Smith chart, Impedance matching, Transients, Radiation equation, Fundamental parameters of antennas, Friis transmission equation, RADAR equation, Aperture efficiency, Bandwidth of Antenna, Input impedance of Antenna, Far-field radiation, Infinitesimal dipole, Vertical infinite dipole over ground, Dipole antennas, Monopole antennas, Loop antennas, Antenna arrays, Helical antenna."
Computer Aided Design & Simulation (EE321),Credit Hours: 03,Course Level: Senior,,"System Overview , Introduction generation till consumption, Generation, Transmission lines, Substations, Distribution, Consumptions, System  Protection Inter connection of power system, System control centre/ operation room/load dispatch center, Personal protection safety, Case study KESC Organization , Operation etc."
Analogue and Digital Communication (EE323),Credit Hours: 4,Course Level: Senior,,"The course will cover basic Satellite operations, Ground Segment, Space Segment, Satellite Subsystems, Communication Theory for Satellite Coomunication, Orbital Mechanics, Basic Link Engineering, Communication payload design and engineering, Multiple access methods, VSAT System, Mobile Satellite service, Internet Service Provision over Satellite and Satellite Navigation Principles."
Power Electronics (EE324),Credit Hours: 3,Course Level: Senior,,"Review of Digital signal processing techniques and algorithms. Overview of embedded and real‑time systems, and DSP system development like cycles.Review of computer organization and architecture followed by DSP architectures.DSP software optimization. Power optimization techniques applied to DSP processors. Real‑time operating systems for DSP.Testing and Debugging of DSP software and systems.Understanding and managing DSP software development.Present and future directions including multicore SoC architectures."
